event_id,title,category,venue_name,neighborhood
3a967291-e244-0a2e-400c-49dc8d1c60e1,"Waterfront Concert Series: StrangeMagic","Waterfront","Astoria Park",""
860e65c6-2261-a1f5-d030-f375f231f536,"Kids In Motion: Torsney Playground","Family & kids","Torsney Playground",""
a08204a8-01bd-f111-e0ab-84d8ae9fb4a7,"Kids In Motion: Beach 59th Street Playground","Family & kids","Rockaway Beach and Boardwalk",""
779ecca6-a625-691c-9b09-69c963beb279,"BookClub at Bryant Park Reading Room","Accessible Activities","Bryant Park",""
a75edaab-ec90-53a0-131c-d33fba5766b1,"Kids In Motion: Alley Springfield Playground","Family & kids","Alley Pond Park",""
a83c477b-51f8-6ac6-cffd-620edb90b6a3,"Summer on the Hudson: Sunset Yoga","Yoga & Pilates Classes","Riverside Park",""
7c99ceb9-4f12-7d27-b2d8-e177e1bc0bd5,"BRIC Celebrate Brooklyn!","","Prospect Park",""
8557d8b9-0c70-352b-ab99-58e696ff408f,"Silent Disco On The Bay","Seniors","Little Bay Park",""
20d75837-17dc-3dd5-ddb0-3edf1c3bc675,"Moving Waters: An Emerging Dance Showcase","Nightlife","Governors Island","Governors Island"
756ca37c-d7ef-da47-9b29-62517f92b696,"Nature Talks","Hiking & parks","Bryant Park","Midtown"
fb8cad3d-5304-1d12-2bfc-7918551ff687,"Expert-Led Explorations: Insects - July 31","Hiking & parks","Pier 1, Brooklyn Bridge Park","Brooklyn Bridge Park"
b348f22a-b0f4-bcb7-eae5-4d320a7b06e6,"Golden Hour at Greeley Square Park","Free Summer Concerts","Greeley Square Park",""
6e0bf96a-a433-b2cf-f21b-46ba4a3306d8,"Summer on the Hudson: Friday Night Jams featuring Christine Chanel","Waterfront","West Harlem Piers",""
f123298b-10a2-6846-564d-2bec1d1deebf,"Kids In Motion: London Planetree Playground","Family & kids","London Planetree Playground",""
75caad92-0f1b-9f2a-d692-32d399efe152,"Broadway in Bryant Park","Theater","Bryant Park","Midtown"
74476dbd-d596-cc09-8622-7e52c1111a74,"Kids In Motion: Bowne Park","Family & kids","Bowne Park",""
